uniqueID,drugName,condition,rating,date,usefulCount
163740,Mirtazapine,Depression,10,28-Feb-12,22
206473,Mesalamine,"Crohn's Disease, Maintenance",8,17-May-09,17
159672,Bactrim,Urinary Tract Infection,9,29-Sep-17,3
39293,Contrave,Weight Loss,9,5-Mar-17,35
97768,Cyclafem 1 / 35,Birth Control,9,22-Oct-15,4
208087,Zyclara,Keratosis,4,3-Jul-14,13
215892,Copper,Birth Control,6,6-Jun-16,1
169852,Amitriptyline,Migraine Prevention,9,21-Apr-09,32
23295,Methadone,Opiate Withdrawal,7,18-Oct-16,21
71428,Levora,Birth Control,2,16-Apr-11,3
196802,Paroxetine,Hot Flashes,1,22-Feb-17,17
31947,Miconazole,Vaginal Yeast Infection,6,7-May-15,7
4907,Belviq,Weight Loss,1,23-Sep-14,57
66736,Seroquel,Schizoaffective Disorde,10,8-Oct-14,19
97013,Ambien,Insomnia,2,13-Jan-15,44
213376,Nuvigil,Narcolepsy,9,30-Jun-10,14
151674,Chantix,Smoking Cessation,10,14-Feb-15,26
33173,Microgestin Fe 1 / 20,Acne,3,22-Jun-17,1
30401,Klonopin,Bipolar Disorde,6,14-Jul-09,24
152490,Ciprofloxacin,Urinary Tract Infection,10,9-Jun-10,9
231397,Trazodone,Insomnia,1,18-Oct-16,15
38116,EnteraGam,Irritable Bowel Syndrome,9,1-Jan-15,43
102969,Aripiprazole,Bipolar Disorde,1,10-Feb-10,27
12626,Cyclosporine,Keratoconjunctivitis Sicca,1,31-Dec-15,17
190527,Oxybutynin,Hyperhidrosis,9,30-May-17,10
229975,Lurasidone,Bipolar Disorde,6,11-Feb-17,18
173391,Clonazepam,Panic Disorde,10,19-Apr-08,47
35608,Ciclopirox,"Onychomycosis, Fingernail",8,2-Jun-16,38
187230,Sodium oxybate,Narcolepsy,10,10-Jan-13,19
211675,Lamotrigine,Bipolar Disorde,7,22-Nov-17,1
79865,Blisovi Fe 1 / 20,Birth Control,10,3-Nov-17,4
27607,Ivermectin,Rosacea,10,1-Apr-16,19
207923,Suprep Bowel Prep Kit,Bowel Preparation,8,18-Feb-15,15
156919,Movantik,"Constipation, Drug Induced",1,26-Aug-16,24
77164,Lorcaserin,,5,27-May-14,21
101149,Actos,"Diabetes, Type 2",4,9-Jun-10,42
178004,Duloxetine,Pain,9,27-Mar-12,32
60341,NuvaRing,Birth Control,7,17-Jun-11,0
141462,Escitalopram,Depression,9,29-Apr-14,32
133539,Tesamorelin,Lipodystrophy,3,11-Jan-12,12
191095,Campral,Alcohol Dependence,10,23-Aug-13,55
50229,Gabapentin,Bipolar Disorde,8,24-Sep-14,75
130301,Levonorgestrel,Emergency Contraception,10,28-Dec-13,20
101371,Aubra,Birth Control,1,13-Dec-15,6
